n,beta,s,type,mcVal,M
148,1,3,EPE,0.07387544480861867,300
148,1,3,EPE,0.0874347472567266,300
148,1,3,EPE,0.09450683077210564,300
148,1,3,EPE,0.10057135685242183,300
148,1,3,EPE,0.06942065238034771,300
148,1,3,EPE,0.12747700768041326,300
148,1,3,EPE,0.06920791810952559,300
148,1,3,EPE,0.17475385651307587,300
148,1,3,EPE,0.06555426942605797,300
148,1,3,EPE,0.059670184281966444,300
148,1,3,EPE,0.06747051990914156,300
148,1,3,EPE,0.06050469123211742,300
148,1,3,EPE,0.06269455936662136,300
148,1,3,EPE,0.09987743435943132,300
148,1,3,EPE,0.07332755536045346,300
148,1,3,EPE,0.07845483226944826,300
148,1,3,EPE,0.10727443914432645,300
148,1,3,EPE,0.06085180106844154,300
148,1,3,EPE,0.07168341359787522,300
148,1,3,EPE,0.07219147838659265,300
148,1,3,EPE,0.051427805242421215,300
148,1,3,EPE,0.1199125502035473,300
148,1,3,EPE,0.051658339996955176,300
148,1,3,EPE,0.09029130825728832,300
148,1,3,EPE,0.043610389808730554,300
148,1,3,EPE,0.05569128497616774,300
148,1,3,EPE,0.13938854363207287,300
148,1,3,EPE,0.09226380616780355,300
148,1,3,EPE,0.0656138211612307,300
148,1,3,EPE,0.06350451356997339,300
148,1,3,EPE,0.06064006381469281,300
148,1,3,EPE,0.12932499556049076,300
148,1,3,EPE,0.0743909917563202,300
148,1,3,EPE,0.09102851305774463,300
148,1,3,EPE,0.06411039364636804,300
148,1,3,EPE,0.04124466972849747,300
148,1,3,EPE,0.09649846316056282,300
148,1,3,EPE,0.07897676120086539,300
148,1,3,EPE,0.04354076002567925,300
148,1,3,EPE,0.08398197215471878,300
148,1,3,EPE,0.10673752122339757,300
148,1,3,EPE,0.09156909104924017,300
148,1,3,EPE,0.04867894302530734,300
148,1,3,EPE,0.09866451244479155,300
148,1,3,EPE,0.10277539050290274,300
148,1,3,EPE,0.11388212588109535,300
148,1,3,EPE,0.12269015851914038,300
148,1,3,EPE,0.2164334657226703,300
148,1,3,EPE,0.07650311725917576,300
148,1,3,EPE,0.06747048606324159,300
148,1,3,EPE,0.08980973659246656,300
148,1,3,EPE,0.14984272744433388,300
148,1,3,EPE,0.07813766368695545,300
148,1,3,EPE,0.11228358929537748,300
148,1,3,EPE,0.06781488354164546,300
148,1,3,EPE,0.05933689381889076,300
148,1,3,EPE,0.07264766284756428,300
148,1,3,EPE,0.11110002092045193,300
148,1,3,EPE,0.1064022517782048,300
148,1,3,EPE,0.10702356203916942,300
148,1,3,EPE,0.12158504797441351,300
148,1,3,EPE,0.04385792860817206,300
148,1,3,EPE,0.05164429633609171,300
148,1,3,EPE,0.04827665725514138,300
148,1,3,EPE,0.0633827814364725,300
148,1,3,EPE,0.054965834972613994,300
148,1,3,EPE,0.051070876379818185,300
148,1,3,EPE,0.10887321175993009,300
148,1,3,EPE,0.05624865803483558,300
148,1,3,EPE,0.05030415354386287,300
148,1,3,EPE,0.06813455241419432,300
148,1,3,EPE,0.02866425794914078,300
148,1,3,EPE,0.06002082562424152,300
148,1,3,EPE,0.07050086740143482,300
148,1,3,EPE,0.1357380206978236,300
148,1,3,EPE,0.039879743426113036,300
148,1,3,EPE,0.1685026202496705,300
148,1,3,EPE,0.07812847070272512,300
148,1,3,EPE,0.06116302527092177,300
148,1,3,EPE,0.17269249800143974,300
148,1,3,EPE,0.13606426981053715,300
148,1,3,EPE,0.10071551745034313,300
148,1,3,EPE,0.08509827546594136,300
148,1,3,EPE,0.06056467577994512,300
148,1,3,EPE,0.06252214904191397,300
148,1,3,EPE,0.08825982473701414,300
148,1,3,EPE,0.07285040733240433,300
148,1,3,EPE,0.0866972113089934,300
148,1,3,EPE,0.07427630809865389,300
148,1,3,EPE,0.055159255959532,300
148,1,3,EPE,0.06064006381469281,300
148,1,3,EPE,0.031913957419031774,300
148,1,3,EPE,0.06441221270437164,300
148,1,3,EPE,0.09178414924624363,300
148,1,3,EPE,0.10223935555498707,300
148,1,3,EPE,0.053525488800898725,300
148,1,3,EPE,0.04824391447940969,300
148,1,3,EPE,0.059773286824800057,300
148,1,3,EPE,0.07875042329888411,300
148,1,3,EPE,0.06606017877210671,300
148,1,3,EPE,0.0719873997653175,300
148,1,3,EPE,0.035580160803045956,300
148,1,3,EPE,0.0469855621229217,300
148,1,3,EPE,0.10390092836053237,300
148,1,3,EPE,0.11167390472632416,300
148,1,3,EPE,0.10326543406729452,300
148,1,3,EPE,0.07650311725917576,300
148,1,3,EPE,0.20158572112730352,300
148,1,3,EPE,0.06656230873830221,300
148,1,3,EPE,0.03216711181415544,300
148,1,3,EPE,0.0814872024099862,300
148,1,3,EPE,0.06920791810952558,300
148,1,3,EPE,0.07801708231368668,300
148,1,3,EPE,0.18129180590358798,300
148,1,3,EPE,0.17364738344315941,300
148,1,3,EPE,0.06690677045313997,300
148,1,3,EPE,0.1387623574619929,300
148,1,3,EPE,0.12109737394151679,300
148,1,3,EPE,0.04655994805738367,300
148,1,3,EPE,0.10016657722167913,300
148,1,3,EPE,0.0956002693251678,300
148,1,3,EPE,0.061776140788553556,300
148,1,3,EPE,0.14380597460783506,300
148,1,3,EPE,0.11630607743520986,300
148,1,3,EPE,0.046893875568909324,300
148,1,3,EPE,0.08501324488696743,300
148,1,3,EPE,0.08533448957801876,300
148,1,3,EPE,0.07446148058743181,300
148,1,3,EPE,0.03389619438101998,300
148,1,3,EPE,0.10360808074204893,300
148,1,3,EPE,0.06223484996236222,300
148,1,3,EPE,0.05210216650016463,300
148,1,3,EPE,0.06238705266903509,300
148,1,3,EPE,0.0767373818946732,300
148,1,3,EPE,0.10277539050290273,300
148,1,3,EPE,0.059696437074590866,300
148,1,3,EPE,0.10278300030228431,300
148,1,3,EPE,0.07574836347587566,300
148,1,3,EPE,0.06326428123026123,300
148,1,3,EPE,0.0732612904016373,300
148,1,3,EPE,0.07360396892080631,300
148,1,3,EPE,0.145167230471202,300
148,1,3,EPE,0.14304125355884426,300
148,1,3,EPE,0.07849989034745428,300
148,1,3,EPE,0.05122506075758121,300
148,1,3,EPE,0.08005374700629014,300
148,1,3,EPE,0.0869205898140382,300
148,1,3,EPE,0.10615436170177123,300
148,1,3,EPE,0.07917804850256804,300
148,1,3,EPE,0.07029812291659489,300
148,1,3,EPE,0.05595792262002225,300
148,1,3,EPE,0.06793180792935438,300
148,1,3,EPE,0.08708932545678894,300
148,1,3,EPE,0.030141670609818563,300
148,1,3,EPE,0.17114847812685474,300
148,1,3,EPE,0.07219147838659272,300
148,1,3,EPE,0.04824391447940969,300
148,1,3,EPE,0.060834589104101694,300
148,1,3,EPE,0.10166079394971037,300
148,1,3,EPE,0.17034295807047037,300
148,1,3,EPE,0.05784305889458901,300
148,1,3,EPE,0.05339325693962653,300
148,1,3,EPE,0.12796244388069714,300
148,1,3,EPE,0.10833398728387121,300
148,1,3,EPE,0.07654037294470277,300
148,1,3,EPE,0.06462415017344197,300
148,1,3,EPE,0.08995801779421267,300
148,1,3,EPE,0.046156670768452944,300
148,1,3,EPE,0.0632642812302613,300
148,1,3,EPE,0.061891713946064957,300
148,1,3,EPE,0.04447270434642698,300
148,1,3,EPE,0.0983918186305606,300
148,1,3,EPE,0.09290436621226797,300
148,1,3,EPE,0.06914763319642307,300
148,1,3,EPE,0.052260726261438746,300
148,1,3,EPE,0.050412584482456474,300
148,1,3,EPE,0.05374247446802323,300
148,1,3,EPE,0.08220054245241962,300
148,1,3,EPE,0.09976875717174485,300
148,1,3,EPE,0.06856611002666053,300
148,1,3,EPE,0.10021072482250691,300
148,1,3,EPE,0.10532014139222451,300
148,1,3,EPE,0.06571996229032133,300
148,1,3,EPE,0.05777971663186573,300
148,1,3,EPE,0.0732661976474004,300
148,1,3,EPE,0.05842231663054809,300
148,1,3,EPE,0.10831123519577925,300
148,1,3,EPE,0.07976135502084188,300
148,1,3,EPE,0.07893466823778283,300
148,1,3,EPE,0.09486476106140716,300
148,1,3,EPE,0.14601556119914177,300
148,1,3,EPE,0.0720341916890703,300
148,1,3,EPE,0.06450356880017313,300
148,1,3,EPE,0.06806492263114303,300
148,1,3,EPE,0.07965469557445691,300
148,1,3,EPE,0.0594696443685362,300
148,1,3,EPE,0.06322386838115975,300
148,1,3,EPE,0.12017649770809673,300
148,1,3,EPE,0.07812847070272508,300
148,1,3,EPE,0.10763488897856323,300
148,1,3,EPE,0.05967018428196639,300
148,1,3,EPE,0.10589206548175854,300
148,1,3,EPE,0.05299131426168225,300
148,1,3,EPE,0.08463867362488757,300
148,1,3,EPE,0.12096082450719406,300
148,1,3,EPE,0.057174931872803945,300
148,1,3,EPE,0.09373105299532705,300
148,1,3,EPE,0.07529901929744592,300
148,1,3,EPE,0.06561382116123068,300
148,1,3,EPE,0.1324426800778355,300
148,1,3,EPE,0.05994034686910847,300
148,1,3,EPE,0.04941747725367217,300
148,1,3,EPE,0.0942090772119607,300
148,1,3,EPE,0.13307836979244514,300
148,1,3,EPE,0.09148766145461502,300
148,1,3,EPE,0.06260718783007295,300
148,1,3,EPE,0.041645742446018444,300
148,1,3,EPE,0.11535147218225916,300
148,1,3,EPE,0.06941323086801163,300
148,1,3,EPE,0.057371442121685504,300
148,1,3,EPE,0.14722808440243348,300
148,1,3,EPE,0.059134149334050826,300
148,1,3,EPE,0.1694020579975279,300
148,1,3,EPE,0.08055934499124423,300
148,1,3,EPE,0.06384225770498433,300
148,1,3,EPE,0.08975527330937266,300
148,1,3,EPE,0.03885031215821394,300
148,1,3,EPE,0.08852718964007222,300
148,1,3,EPE,0.048206884816075955,300
148,1,3,EPE,0.12462184110676032,300
148,1,3,EPE,0.052421236507943704,300
148,1,3,EPE,0.12262052873608907,300
148,1,3,EPE,0.06252454030506127,300
148,1,3,EPE,0.12827429493460588,300
148,1,3,EPE,0.12258946975828365,300
148,1,3,EPE,0.0706374168357576,300
148,1,3,EPE,0.07624175979585919,300
148,1,3,EPE,0.14075728451636704,300
148,1,3,EPE,0.11470516224643644,300
148,1,3,EPE,0.09663501259488558,300
148,1,3,EPE,0.12705443299774175,300
148,1,3,EPE,0.12221991246078112,300
148,1,3,EPE,0.052937072478654895,300
148,1,3,EPE,0.049710354867646266,300
148,1,3,EPE,0.1258180307107218,300
148,1,3,EPE,0.0768392955421485,300
148,1,3,EPE,0.06685798577884823,300
148,1,3,EPE,0.0694714361335358,300
148,1,3,EPE,0.06363089351123295,300
148,1,3,EPE,0.06617961705214637,300
148,1,3,EPE,0.05204075591254448,300
148,1,3,EPE,0.14069171362787478,300
148,1,3,EPE,0.04076641971630373,300
148,1,3,EPE,0.07527094150643668,300
148,1,3,EPE,0.0927736963005564,300
148,1,3,EPE,0.10596169526480978,300
148,1,3,EPE,0.057648533605180116,300
148,1,3,EPE,0.03324917902871016,300
148,1,3,EPE,0.10309926729938104,300
148,1,3,EPE,0.06487168897288348,300
148,1,3,EPE,0.05684459891021291,300
148,1,3,EPE,0.08941976453446406,300
148,1,3,EPE,0.06258549130463728,300
148,1,3,EPE,0.09056404015306599,300
148,1,3,EPE,0.08920716985368445,300
148,1,3,EPE,0.07077053153754627,300
148,1,3,EPE,0.11797445998788592,300
148,1,3,EPE,0.07215177085341441,300
148,1,3,EPE,0.04895256831029844,300
148,1,3,EPE,0.060634679944320036,300
148,1,3,EPE,0.07421659976052265,300
148,1,3,EPE,0.09715934481921085,300
148,1,3,EPE,0.10154220423340223,300
148,1,3,EPE,0.05961063254679365,300
148,1,3,EPE,0.07616301900551992,300
148,1,3,EPE,0.058445290140809215,300
148,1,3,EPE,0.07278982787756921,300
148,1,3,EPE,0.13713968958431744,300
148,1,3,EPE,0.061009955821204935,300
148,1,3,EPE,0.12238672527344362,300
148,1,3,EPE,0.12367435262191205,300
148,1,3,EPE,0.1124210242373512,300
148,1,3,EPE,0.10110521632048572,300
148,1,3,EPE,0.12461353443396553,300
148,1,3,EPE,0.09529469414301008,300
148,1,3,EPE,0.049417477253672126,300
148,1,3,EPE,0.15745108363846816,300
148,1,3,EPE,0.19042174754475952,300
148,1,3,EPE,0.1439375701249546,300
148,1,3,EPE,0.05750464619511877,300
148,1,3,EPE,0.04473694962964068,300
148,1,3,EPE,0.13427159353586762,300
148,1,3,EPE,0.08684713859504413,300
148,1,3,EPE,0.06817848684162654,300
148,1,3,EPE,0.07923655584767722,300
148,1,3,EPE,0.053220385090272444,300
148,1,3,EPE,0.05781439108270052,300
148,1,3,EPE,0.10079818843964403,300
148,1,3,EPE,0.15143781697615247,300
148,1,3,EPE,0.07875379733639165,300
148,1,3,TSS,0.04101075336789063,300
148,1,3,TSS,0.04692303712755493,300
148,1,3,TSS,0.03687222360103309,300
148,1,3,TSS,0.05370819841324729,300
148,1,3,TSS,0.04370465209208634,300
148,1,3,TSS,0.045782228171791374,300
148,1,3,TSS,0.028543414430836325,300
148,1,3,TSS,0.04881697871112243,300
148,1,3,TSS,0.05389279440141236,300
148,1,3,TSS,0.03422888204972233,300
148,1,3,TSS,0.04064977961985037,300
148,1,3,TSS,0.04379838593103443,300
148,1,3,TSS,0.02943381216592641,300
148,1,3,TSS,0.022802522036412018,300
148,1,3,TSS,0.052695243956401634,300
148,1,3,TSS,0.04410222357458137,300
148,1,3,TSS,0.03674515085048958,300
148,1,3,TSS,0.023018833426818673,300
148,1,3,TSS,0.05101783092225082,300
148,1,3,TSS,0.03829170139710577,300
148,1,3,TSS,0.0325142593669211,300
148,1,3,TSS,0.053859455489816944,300
148,1,3,TSS,0.044978685714797094,300
148,1,3,TSS,0.023425740870574734,300
148,1,3,TSS,0.05004586045384569,300
148,1,3,TSS,0.04468841497681679,300
148,1,3,TSS,0.053029904394214546,300
148,1,3,TSS,0.04256621017829534,300
148,1,3,TSS,0.034862765661204394,300
148,1,3,TSS,0.04396282135246465,300
148,1,3,TSS,0.05616788067944952,300
148,1,3,TSS,0.02977559018357542,300
148,1,3,TSS,0.030721824762856575,300
148,1,3,TSS,0.02573784671242592,300
148,1,3,TSS,0.047547181260168554,300
148,1,3,TSS,0.03629939621220194,300
148,1,3,TSS,0.036857426357575794,300
148,1,3,TSS,0.06392238751718794,300
148,1,3,TSS,0.04241523311993239,300
148,1,3,TSS,0.04355920791872441,300
148,1,3,TSS,0.036588140405178195,300
148,1,3,TSS,0.04410222357458137,300
148,1,3,TSS,0.03822192895804034,300
148,1,3,TSS,0.06264732664660612,300
148,1,3,TSS,0.05517013889742908,300
148,1,3,TSS,0.038291289328453,300
148,1,3,TSS,0.05334106409992057,300
148,1,3,TSS,0.03957973314342433,300
148,1,3,TSS,0.08380426149839666,300
148,1,3,TSS,0.03340517605153772,300
148,1,3,TSS,0.0439819011041467,300
148,1,3,TSS,0.035105344189938055,300
148,1,3,TSS,0.050992897419027954,300
148,1,3,TSS,0.04975991928038774,300
148,1,3,TSS,0.028285245170458023,300
148,1,3,TSS,0.038355043659829044,300
148,1,3,TSS,0.04401902688596342,300
148,1,3,TSS,0.03477715784109618,300
148,1,3,TSS,0.05465104218246556,300
148,1,3,TSS,0.049418823812526,300
148,1,3,TSS,0.06706643125422497,300
148,1,3,TSS,0.0430561529689587,300
148,1,3,TSS,0.02945248645910982,300
148,1,3,TSS,0.05256212925461292,300
148,1,3,TSS,0.04752608417282919,300
148,1,3,TSS,0.07551873197917293,300
148,1,3,TSS,0.026684081291707067,300
148,1,3,TSS,0.06731615137154244,300
148,1,3,TSS,0.023629208819471097,300
148,1,3,TSS,0.04194975538492852,300
148,1,3,TSS,0.054366037618203904,300
148,1,3,TSS,0.04307279230668228,300
148,1,3,TSS,0.04796295845001484,300
148,1,3,TSS,0.033956365125816894,300
148,1,3,TSS,0.055773185942703356,300
148,1,3,TSS,0.04342191153587875,300
148,1,3,TSS,0.05366234055226332,300
148,1,3,TSS,0.042056927944349835,300
148,1,3,TSS,0.060247574896189614,300
148,1,3,TSS,0.03528227471750409,300
148,1,3,TSS,0.04870972722985636,300
148,1,3,TSS,0.04098563880647909,300
148,1,3,TSS,0.034095767347933625,300
148,1,3,TSS,0.05745969552825456,300
148,1,3,TSS,0.030721824762856575,300
148,1,3,TSS,0.050719578109221404,300
148,1,3,TSS,0.06660676017045136,300
148,1,3,TSS,0.04565930699076199,300
148,1,3,TSS,0.04300316252363098,300
148,1,3,TSS,0.07200264030966717,300
148,1,3,TSS,0.0559518909595107,300
148,1,3,TSS,0.07904393137145245,300
148,1,3,TSS,0.04844328970666529,300
148,1,3,TSS,0.05481031202569862,300
148,1,3,TSS,0.036096651727361935,300
148,1,3,TSS,0.040566582931232435,300
148,1,3,TSS,0.01626207667006191,300
148,1,3,TSS,0.041339316395046795,300
148,1,3,TSS,0.047522869084658116,300
148,1,3,TSS,0.04225967242918985,300
148,1,3,TSS,0.04153391459785293,300
148,1,3,TSS,0.05511034478646289,300
148,1,3,TSS,0.04179875868397153,300
148,1,3,TSS,0.025737846712425922,300
148,1,3,TSS,0.058505766133877236,300
148,1,3,TSS,0.04484571366902251,300
148,1,3,TSS,0.04740175673729472,300
148,1,3,TSS,0.06314676163372371,300
148,1,3,TSS,0.029161707310673746,300
148,1,3,TSS,0.021682700202829325,300
148,1,3,TSS,0.04592492029407825,300
148,1,3,TSS,0.04497868571479711,300
148,1,3,TSS,0.030505513372449927,300
148,1,3,TSS,0.023831953304311114,300
148,1,3,TSS,0.042039031474260836,300
148,1,3,TSS,0.04364255249080775,300
148,1,3,TSS,0.03583661100998574,300
148,1,3,TSS,0.05428284092958595,300
148,1,3,TSS,0.05937575155775852,300
148,1,3,TSS,0.054824231737236225,300
148,1,3,TSS,0.030721824762856575,300
148,1,3,TSS,0.037059525644366674,300
148,1,3,TSS,0.07131815876824313,300
148,1,3,TSS,0.042431949495998295,300
148,1,3,TSS,0.027255813902558934,300
148,1,3,TSS,0.04341006996738705,300
148,1,3,TSS,0.048528388725697785,300
148,1,3,TSS,0.06334306257695256,300
148,1,3,TSS,0.04329312117116112,300
148,1,3,TSS,0.048282998516822856,300
148,1,3,TSS,0.06609725120078766,300
148,1,3,TSS,0.04700616623792878,300
148,1,3,TSS,0.043323290955616996,300
148,1,3,TSS,0.04328910369708893,300
148,1,3,TSS,0.056558197369509344,300
148,1,3,TSS,0.03982309283679129,300
148,1,3,TSS,0.05004586045384568,300
148,1,3,TSS,0.03624640576687423,300
148,1,3,TSS,0.04785081078410185,300
148,1,3,TSS,0.07098984837949167,300
148,1,3,TSS,0.08498539282689789,300
148,1,3,TSS,0.03022866688402213,300
148,1,3,TSS,0.036269488646208985,300
148,1,3,TSS,0.04580537249785618,300
148,1,3,TSS,0.03865747443494654,300
148,1,3,TSS,0.03306633608003454,300
148,1,3,TSS,0.026442694025066493,300
148,1,3,TSS,0.03747858151961333,300
148,1,3,TSS,0.036899362639617635,300
148,1,3,TSS,0.03624640576687423,300
148,1,3,TSS,0.04491170742413587,300
148,1,3,TSS,0.032477964131459085,300
148,1,3,TSS,0.039938497719130224,300
148,1,3,TSS,0.054291317599034265,300
148,1,3,TSS,0.04619702514933091,300
148,1,3,TSS,0.04232891361905223,300
148,1,3,TSS,0.044767839884987136,300
148,1,3,TSS,0.03808659674305466,300
148,1,3,TSS,0.043205907008470996,300
148,1,3,TSS,0.05289798844124164,300
148,1,3,TSS,0.031332200155509,300
148,1,3,TSS,0.054409501611476695,300
148,1,3,TSS,0.03621166601002252,300
148,1,3,TSS,0.028812716266570684,300
148,1,3,TSS,0.022816088941978657,300
148,1,3,TSS,0.029018263770929,300
148,1,3,TSS,0.04076932741607244,300
148,1,3,TSS,0.03153494464034901,300
148,1,3,TSS,0.07584071172813361,300
148,1,3,TSS,0.05840766708744874,300
148,1,3,TSS,0.051470015736880606,300
148,1,3,TSS,0.03632960245549217,300
148,1,3,TSS,0.041596014199131524,300
148,1,3,TSS,0.0483820143252615,300
148,1,3,TSS,0.06228660379550636,300
148,1,3,TSS,0.03205047171770208,300
148,1,3,TSS,0.03380982617447568,300
148,1,3,TSS,0.058505766133877236,300
148,1,3,TSS,0.049439502535265446,300
148,1,3,TSS,0.03403059531449809,300
148,1,3,TSS,0.07649653291342033,300
148,1,3,TSS,0.040566582931232435,300
148,1,3,TSS,0.04881368470110659,300
148,1,3,TSS,0.01707519654755435,300
148,1,3,TSS,0.04857661252806765,300
148,1,3,TSS,0.031332200155509006,300
148,1,3,TSS,0.04859304374617759,300
148,1,3,TSS,0.05743787459789614,300
148,1,3,TSS,0.05882697352823884,300
148,1,3,TSS,0.058997502673361533,300
148,1,3,TSS,0.05184526770973111,300
148,1,3,TSS,0.050775783642720194,300
148,1,3,TSS,0.0494683368674774,300
148,1,3,TSS,0.03344083804846382,300
148,1,3,TSS,0.04673406138267611,300
148,1,3,TSS,0.038533748676636385,300
148,1,3,TSS,0.049825826529589216,300
148,1,3,TSS,0.034166782448443754,300
148,1,3,TSS,0.07245950367975507,300
148,1,3,TSS,0.0726558751763825,300
148,1,3,TSS,0.029775590183575423,300
148,1,3,TSS,0.046265437503460495,300
148,1,3,TSS,0.029559278793168782,300
148,1,3,TSS,0.035744962951963714,300
148,1,3,TSS,0.036651482667901476,300
148,1,3,TSS,0.03153453257169624,300
148,1,3,TSS,0.057372377394727905,300
148,1,3,TSS,0.07992036669768442,300
148,1,3,TSS,0.052317861162916736,300
148,1,3,TSS,0.045124168573336634,300
148,1,3,TSS,0.05867388531098888,300
148,1,3,TSS,0.025654650023807977,300
