n,beta,s,type,mcVal,M
148,0.6666666666666666,1.5,EPE,0.16531020173704555,300
148,0.6666666666666666,1.5,EPE,0.30789201312088976,300
148,0.6666666666666666,1.5,EPE,0.23735602198032257,300
148,0.6666666666666666,1.5,EPE,0.2711760641516644,300
148,0.6666666666666666,1.5,EPE,0.2775112434909224,300
148,0.6666666666666666,1.5,EPE,0.2512716165730484,300
148,0.6666666666666666,1.5,EPE,0.226070654627933,300
148,0.6666666666666666,1.5,EPE,0.20862084588955945,300
148,0.6666666666666666,1.5,EPE,0.2668334506093489,300
148,0.6666666666666666,1.5,EPE,0.20289958170214437,300
148,0.6666666666666666,1.5,EPE,0.3092769722798928,300
148,0.6666666666666666,1.5,EPE,0.2209920634170655,300
148,0.6666666666666666,1.5,EPE,0.21770934581946189,300
148,0.6666666666666666,1.5,EPE,0.2112486407976311,300
148,0.6666666666666666,1.5,EPE,0.24791708145236835,300
148,0.6666666666666666,1.5,EPE,0.21784994132106067,300
148,0.6666666666666666,1.5,EPE,0.18955531436399226,300
148,0.6666666666666666,1.5,EPE,0.2221471391314853,300
148,0.6666666666666666,1.5,EPE,0.274100196321986,300
148,0.6666666666666666,1.5,EPE,0.20549597662465188,300
148,0.6666666666666666,1.5,EPE,0.15577013354135325,300
148,0.6666666666666666,1.5,EPE,0.2721285231578565,300
148,0.6666666666666666,1.5,EPE,0.1803030972854191,300
148,0.6666666666666666,1.5,EPE,0.2465722380800742,300
148,0.6666666666666666,1.5,EPE,0.36178381676167554,300
148,0.6666666666666666,1.5,EPE,0.210821871381845,300
148,0.6666666666666666,1.5,EPE,0.2993994480065673,300
148,0.6666666666666666,1.5,EPE,0.227610630546649,300
148,0.6666666666666666,1.5,EPE,0.21210365949482418,300
148,0.6666666666666666,1.5,EPE,0.24213211367197304,300
148,0.6666666666666666,1.5,EPE,0.29278314080379825,300
148,0.6666666666666666,1.5,EPE,0.2758006170386052,300
148,0.6666666666666666,1.5,EPE,0.30316088115360845,300
148,0.6666666666666666,1.5,EPE,0.1918076064021333,300
148,0.6666666666666666,1.5,EPE,0.21967266501811772,300
148,0.6666666666666666,1.5,EPE,0.15150617237128244,300
148,0.6666666666666666,1.5,EPE,0.2015676368670296,300
148,0.6666666666666666,1.5,EPE,0.21709159128739847,300
148,0.6666666666666666,1.5,EPE,0.19368916770319952,300
148,0.6666666666666666,1.5,EPE,0.19879694821756758,300
148,0.6666666666666666,1.5,EPE,0.20817391561173398,300
148,0.6666666666666666,1.5,EPE,0.23622533440033577,300
148,0.6666666666666666,1.5,EPE,0.2628865747929663,300
148,0.6666666666666666,1.5,EPE,0.2693744375395328,300
148,0.6666666666666666,1.5,EPE,0.30560976508521126,300
148,0.6666666666666666,1.5,EPE,0.20115658286805602,300
148,0.6666666666666666,1.5,EPE,0.323833267908014,300
148,0.6666666666666666,1.5,EPE,0.24300352289144422,300
148,0.6666666666666666,1.5,EPE,0.16738311488538213,300
148,0.6666666666666666,1.5,EPE,0.28460844742894215,300
148,0.6666666666666666,1.5,EPE,0.24311216771539332,300
148,0.6666666666666666,1.5,EPE,0.30812281553236137,300
148,0.6666666666666666,1.5,EPE,0.25113508047433003,300
148,0.6666666666666666,1.5,EPE,0.259881614173813,300
148,0.6666666666666666,1.5,EPE,0.2830923113231766,300
